id,category,descripcion,income,budget,date
1,Electronics,Portable USB-C Monitor,$868.72,$221.76,2/20/2025
2,Home,LED Strip Lights Kit,$964.24,$325.60,10/22/2025
3,Food - Meat Substitutes,Vegetarian Sausage Links,$433.21,$574.14,2/15/2026
4,Toys,Jigsaw Puzzle,$90.51,$756.52,12/24/2024
5,Food - Frozen Foods,Garlic Herb Grilled Chicken,$324.56,$295.84,6/18/2025
6,Food - Desserts,Rice Pudding,$174.74,$527.98,2/12/2026
7,Food - Condiments,Fire Roasted Salsa,$224.60,$134.91,3/5/2024
8,Food - Frozen Foods,Vegetable Curry,$829.35,$860.75,2/21/2024
9,Home,Fall-Themed Table Runner,$849.34,$734.44,5/3/2025
10,Food - Cereal,Chocolate Hazelnut Granola,$871.55,$103.75,8/7/2024
11,Food - Frozen Foods,Sweet Potato Mash,$762.22,$655.95,1/30/2024
12,Food - Dairy,Sliced Cheese,$492.87,$330.73,6/1/2025
13,Food - Meat Substitutes,Vegetarian Sausage Links,$122.87,$944.68,3/18/2025
14,Food - Prepared Foods,Spicy Vegetable Sushi Rolls,$23.23,$791.62,2/29/2024
15,Home Appliances,Compact Refrigerator,$23.82,$695.96,10/15/2024
16,Food - Frozen Meals,Beef Stroganoff Meal Kit,$696.21,$835.14,12/15/2025
17,Kitchen,Aeropress Coffee Maker,$368.05,$116.53,6/16/2025
18,Outdoor,Inflatable Pool Float,$313.07,$478.49,10/5/2024
19,Food - Grains,Basmati Rice,$748.26,$39.08,11/4/2024
20,Travel,Travel Pillow,$774.97,$928.23,7/19/2025
21,Outdoor,Portable Solar Generator,$805.53,$378.02,7/28/2024
22,Garden,Multi-Purpose Plant Care Tool,$583.28,$566.94,2/18/2024
23,Garden,DIY Organic Gardening Kit,$293.85,$249.77,5/24/2025
24,Pets,Pet Grooming Brush,$384.96,$140.15,2/26/2026
25,Food - Condiments,Sweet BBQ Dipping Sauce,$44.81,$27.67,8/18/2025
26,Food - Spices,Organic Italian Seasoning,$51.72,$678.13,8/6/2024
27,Food - Produce,Chickpea Salad Deluxe,$539.94,$965.93,9/28/2025
28,Food - Bakery,Hot Dog Buns,$193.50,$744.93,4/30/2025
29,Food - Snacks,Honey Almond Granola Bars,$992.71,$713.97,1/17/2025
30,Food - Breakfast,Apple Cinnamon Granola,$403.28,$692.50,7/26/2024
31,Food - Dairy,Sliced Provolone Cheese,$237.88,$96.53,12/24/2024
32,Outdoor,Electric Air Pump,$419.21,$26.19,2/25/2026
33,Food - Seafood,Lemon Dill Salmon,$553.71,$220.58,3/15/2026
34,Outdoor,LED Flashlight,$403.14,$28.47,2/29/2024
35,Food - Grains,Couscous,$831.08,$481.29,12/13/2024
36,Food - Bakery,Artisan Bread,$182.02,$765.58,8/26/2024
37,Food - Baking,Gluten-Free Brownies,$383.10,$936.24,8/7/2025
38,Art Supplies,Crafting Kit,$462.65,$760.21,3/23/2024
39,Food - Dairy,Whipped Cream Cheese,$42.45,$777.79,1/28/2026
40,Food - Frozen,Strawberry Banana Smoothie Pack,$271.37,$489.64,6/13/2025
41,Food - Snacks,Dark Chocolate Covered Raisins,$900.11,$760.53,1/8/2024
42,Toys,Kids' STEM Robotics Kit,$233.36,$262.89,4/1/2025
43,Storage,Memory Card,$70.95,$627.02,1/28/2026
44,Fitness,Fitbit Activity Tracker,$989.21,$574.15,8/14/2024
45,Photography,Smartphone Photography Ring Light,$276.02,$614.56,12/5/2025
46,Pets,Pet Grooming Brush,$562.37,$63.41,12/11/2025
47,Food - Seafood,Smoked Salmon,$365.22,$576.06,9/26/2025
48,Food - Breakfast,Vanilla Almond Granola,$429.25,$91.48,11/27/2025
49,Food - Snacks,Fruit and Nut Medley,$598.30,$475.46,3/9/2026
50,Food - Dairy Alternatives,Coconut Cashew Yogurt,$367.03,$727.10,10/12/2024
51,Clothing - Loungewear,Terry Cloth Robe,$251.39,$524.44,8/12/2025
52,Food - Frozen Foods,Crispy Potato Tots,$917.59,$318.27,4/16/2024
53,Kitchen,Tea Infuser,$766.24,$613.69,8/6/2024
54,Crafts,DIY Candle Making Kit,$105.49,$412.15,1/24/2024
55,Food - Cooking Essentials,Vegetable Stock,$920.00,$654.46,5/6/2025
56,Food - Frozen Foods,Berry Smoothie Mix,$26.83,$323.85,3/13/2024
57,Health,Infrared Thermometer,$347.10,$765.18,6/24/2025
58,Food - Snacks,Almond Crunch Granola Bars,$350.91,$192.26,8/19/2024
59,Food - Grains,Couscous,$178.00,$723.12,3/29/2024
60,Food - Beverages,Ethically-Sourced Coffee Beans,$529.78,$76.87,10/2/2025
61,Kitchen,Magic Color-Changing Mug,$117.87,$278.99,5/30/2024
62,Food - Condiments,Sweet Chili Dipping Sauce,$162.30,$777.56,7/22/2024
63,Clothing - Loungewear,Cotton Pajama Set,$291.87,$757.22,4/2/2024
64,Food - Frozen Foods,Veggie Lovers Pizza,$298.65,$153.65,4/10/2025
65,Kitchen,Juice Extractor,$499.88,$951.75,7/9/2025
66,Outdoor,Rolling Cooler,$991.88,$406.82,12/19/2024
67,Toys,Puzzle Mat,$600.97,$729.79,11/17/2024
68,Outdoor,LED Flashlight,$11.01,$67.70,2/5/2025
69,Kitchen,Electric Egg Cooker,$27.61,$341.07,2/18/2025
70,Food - Snacks,Coconut Granola,$820.69,$993.76,5/17/2024
71,Food - Dairy Alternatives,Coconut Cashew Yogurt,$623.04,$736.31,12/28/2025
72,Kitchen,Mini Food Processor,$285.23,$473.60,2/3/2025
73,Fitness,Eco-Friendly Yoga Blocks,$984.01,$514.61,7/21/2024
74,Food - Snacks,Savory Rice Cakes,$404.86,$58.05,5/27/2025
75,Home,Wall Calendar,$91.77,$856.41,1/31/2025
76,Outdoor,Outdoor Inflatable Pool,$546.96,$539.15,4/14/2025
77,Food - Frozen Foods,Frozen Edamame,$930.35,$262.06,2/23/2026
78,Fitness,Yoga Blocks,$855.20,$385.15,7/22/2024
79,Electronics,Wireless HDMI Transmitter,$556.35,$587.06,10/25/2024
80,Food - Salads,Mediterranean Couscous Salad,$971.75,$896.72,7/8/2024
81,Food - Canned Goods,Mushroom Soup (canned),$44.05,$21.33,12/9/2024
82,Food - Bakery,Cinnamon Raisin Bagels,$822.17,$62.85,3/14/2026
83,Food - Baking,Samoas Cookie Mix,$974.07,$879.95,8/23/2024
84,Clothing - Bottoms,A-Line Skirt,$911.67,$686.62,11/6/2025
85,Food - Snacks,Flavored Rice Cakes,$319.52,$537.93,6/25/2024
86,Food - Beverages,Honey Lemon Tea,$542.03,$68.45,1/7/2025
87,Food - Dairy,Raspberry Vanilla Greek Yogurt,$413.76,$846.16,9/12/2024
88,Kitchen,Kitchen Knife Sharpening System,$272.78,$413.02,9/21/2025
89,Food - Snacks,Honey Graham Crackers,$285.61,$802.10,9/7/2025
90,Food - Spices,Garam Masala Spice Blend,$952.19,$598.81,5/16/2024
91,Food - Prepared Foods,Chicken Fajita Kit,$953.63,$655.96,4/10/2025
92,Food - Baking,Cacao Powder,$254.92,$262.99,5/9/2024
93,Food - Frozen Foods,Buffalo Cauliflower Wings,$237.45,$779.50,8/10/2025
94,Accessories,Biodegradable Phone Case,$876.27,$51.96,12/21/2025
95,Clothing - Loungewear,Terry Cloth Robe,$764.41,$888.08,1/24/2026
96,Toys,Kids' Building Blocks,$175.89,$238.08,4/11/2025
97,Food - Spices,Steak Seasoning Rub,$551.06,$819.55,7/30/2025
98,Kitchen,Air Fryer Oven,$89.96,$140.83,11/4/2025
99,Apps,Digital Bullet Journal,$598.20,$243.41,3/20/2025
100,Accessories,Ultra-Thin Laptop Sleeve,$264.46,$566.45,9/20/2024
101,Food - Pasta,Pasta (Fusilli),$311.27,$295.04,4/10/2025
102,Health,Essential Oil Roller Bottles,$392.06,$778.81,6/30/2025
103,Kitchen,Stainless Steel Mixing Bowls,$605.05,$198.29,11/29/2024
104,Food - Condiments,Pesto Genovese,$606.68,$13.85,10/16/2024
105,Food - Spreads,Chocolate Hazelnut Spread,$644.05,$648.13,1/8/2024
106,Clothing - Shoes,Comfort Flats,$585.61,$987.10,5/7/2024
107,Outdoor,Portable Water Filter,$229.29,$823.04,2/13/2024
108,Health,Self-Massaging Pillow,$665.49,$943.86,3/11/2026
109,Pets,Pet Camera with Treat Dispenser,$364.80,$102.55,11/9/2025
110,Electronics,Smartphone Gimbal,$231.48,$914.11,7/4/2024
111,Kitchen,Electric Hot Pot,$47.68,$127.83,8/21/2024
112,Outdoor,Portable Hammock,$671.25,$843.17,8/18/2024
113,Food - Canned Goods,Mushroom Soup (canned),$169.84,$198.71,10/30/2025
114,Photography,Smartphone Gimbal Stabilizer,$253.02,$226.63,7/26/2025
115,Food - Frozen Desserts,Organic Vanilla Bean Ice Cream,$824.31,$937.82,12/13/2024
116,Food - Condiments,Pesto Genovese,$216.34,$964.23,10/7/2024
117,Music,Guitar Tuner,$593.17,$797.64,1/25/2026
118,Home,Reversible Comforter Set,$290.82,$497.44,3/29/2024
119,Kitchen,Dual Function Electric Skillet,$888.78,$558.06,3/24/2024
120,Food - Snacks,Dark Chocolate Covered Pretzels,$983.53,$958.20,7/8/2024
121,Fitness,Fruit Infuser Water Bottle,$303.54,$709.69,5/8/2025
122,Food - Salads,Mediterranean Couscous Salad,$414.25,$465.58,11/23/2025
123,Food - Seafood,Frozen Salmon Filets,$975.20,$91.42,11/30/2024
124,Health,Wrist Support Brace,$667.46,$48.49,4/5/2024
125,Outdoor,Silicone Wine Glasses,$575.70,$353.56,1/16/2026
126,Health,Foot Massager Machine,$231.10,$30.24,4/5/2025
127,Food - Snacks,Black Bean Salsa,$690.56,$950.89,9/7/2024
128,Food - Snacks,Pecan Nuts,$236.82,$998.77,9/25/2024
129,Food - Snacks,Cinnamon Roll Protein Bar,$151.79,$935.92,9/7/2025
130,Food - Breakfast Foods,Almond Coconut Granola,$62.86,$725.33,1/1/2024
131,Kitchen,Ceramic Bakeware Set,$51.94,$230.24,11/14/2025
132,Food - Frozen Meals,Stuffed Bell Peppers,$24.98,$917.40,9/18/2025
133,Food - Frozen Foods,Vegetable Pizza Rolls,$14.12,$565.57,11/1/2024
134,Kitchen,Reusable Silicone Food Storage Bags,$239.46,$947.07,8/26/2025
135,Food - Grab-and-Go,Sesame Noodles,$265.70,$348.35,6/6/2024
136,Kitchen,Pressure Cooker,$611.17,$836.06,2/11/2025
137,Food - Breakfast,Pumpkin Waffles,$75.92,$343.27,8/9/2025
138,Gaming,Gaming Headset,$146.88,$824.68,3/12/2025
139,Food - Grains,Wild Rice Pilaf,$403.34,$790.30,4/24/2025
140,Kitchen,Silicone Stretch Lids,$228.16,$605.50,10/9/2024
141,Food - Meat,Honey Mustard Chicken Breasts,$962.91,$783.66,5/3/2024
142,Art Supplies,Digital Drawing Tablet,$591.18,$826.55,1/24/2024
143,Home,Smart Air Purifier,$747.63,$639.22,1/10/2025
144,Food - Frozen Foods,Vanilla Ice Cream,$637.93,$528.51,3/9/2026
145,Food - Snacks,Savory Snack Mix,$605.61,$461.62,5/29/2025
146,Pets,Pet Hair Removal Roller,$936.74,$657.94,1/10/2024
147,Home,Wall-Mounted Bookshelf,$378.90,$263.40,2/23/2026
148,Food - Snacks,Honey Roasted Chickpeas,$867.92,$787.91,4/1/2024
149,Food - Bakery,Jalapeño Cornbread,$315.12,$539.03,3/13/2024
150,Food - Salads,Quinoa & Black Bean Salad,$155.28,$213.43,7/22/2025
151,Accessories,Heavy-Duty Utility Tote,$382.41,$201.89,4/9/2025
152,Food - Marinades,Garlic Herb Marinade,$610.16,$539.39,1/2/2024
153,Outdoor,Fishing Tackle Box,$937.59,$537.72,12/5/2025
154,Food - Nuts,Walnut Halves,$378.56,$814.82,10/18/2025
155,Food - Meat,Lemon Herb Chicken,$185.43,$231.24,3/3/2026
156,Safety,Safety Goggles,$394.39,$593.45,9/21/2024
157,Food - Frozen,Vegetable and Cheese Quesadillas,$983.09,$883.53,12/15/2025
158,Food - Grains,Herbed Couscous,$418.58,$929.33,2/27/2026
159,Electronics,Portable USB-C Monitor,$852.13,$738.69,1/24/2026
160,Office,Customizable Wall Calendar,$993.05,$297.51,9/8/2025
161,Pets,Pet Grooming Brush,$399.91,$399.41,10/18/2024
162,Health,Elderberry Syrup Kit,$219.57,$90.31,5/4/2025
163,Accessories,Kids' Dinosaur-Themed Lunchbox,$565.35,$884.93,7/11/2024
164,Food - Baking & Cooking,Coconut Cream,$75.99,$212.62,2/18/2025
165,Food - Snacks,Caramel Apple Chips,$406.54,$86.95,11/14/2024
166,Pets,Dog Walking Waist Pack,$197.73,$496.99,7/10/2024
167,Kitchen,Electric Rice Cooker,$626.44,$751.74,10/21/2024
168,Food - Bakery,Cranberry Almond Cookies,$597.15,$954.99,9/8/2025
169,Food - Spices,Chili Powder,$957.55,$265.32,6/5/2024
170,Accessories,Heavy-Duty Utility Tote,$848.89,$984.50,1/29/2024
171,Garden,Garden Tool Belt,$32.69,$427.00,3/2/2026
172,Food - Baking & Cooking,Almond Flour Tortillas,$912.42,$695.51,2/8/2026
173,Food - Snacks,Cinnamon Sugar Tortilla Chips,$442.35,$888.56,6/12/2024
174,Food - Canned Goods,Tomato Sauce,$348.47,$654.70,2/21/2026
175,Outdoor,Outdoor Camping Hammock,$185.98,$834.60,1/30/2025
176,Food - Canned Goods,Pineapple Rings,$902.38,$332.38,1/23/2025
177,Garden,Indoor Plants,$234.16,$74.81,11/4/2025
178,Health,Foot Massager,$322.59,$356.73,11/24/2025
179,Kitchen,Non-Stick Baking Sheet,$890.87,$425.18,4/9/2025
180,Pets,Dog Car Seat Cover,$37.08,$622.62,11/1/2024
181,Food - Meat,Honey Mustard Chicken Breasts,$719.76,$198.72,5/5/2024
182,Health,Weighted Blanket for Adults,$516.61,$412.71,1/3/2025
183,Outdoor,Premium Flashlight,$362.81,$614.37,7/15/2024
184,Art Supplies,Watercolor Paint Set,$34.06,$911.08,7/23/2024
185,Food - Soups,Savory Pumpkin Soup,$191.08,$598.29,1/31/2026
186,Automotive,Car Sunshade,$931.63,$794.51,10/25/2024
187,Pets,Portable Pet Pooper Scooper,$57.56,$50.65,4/20/2024
188,Beauty,Travel Hair Straightener,$872.07,$889.65,4/21/2025
189,Clothing - Loungewear,Cotton Pajama Set,$894.34,$699.52,12/2/2024
190,Home,Memory Foam Pillow,$163.52,$895.47,1/28/2026
191,Food - Vegetables,Zucchini Noodle Pasta,$273.36,$542.76,3/17/2025
192,Kitchen,Multi-Function Meat Tenderizer,$722.87,$241.14,1/11/2024
193,Travel,Compressed Towel Tablets,$62.75,$451.88,10/12/2025
194,Food - Meat,Teriyaki Chicken Skewers,$808.97,$517.66,11/3/2025
195,Kitchen,Handmade Wooden Utensil Set,$701.84,$711.69,1/28/2025
196,Outdoor,Collapsible Folding Chair,$257.83,$86.12,4/18/2024
197,Clothing,Luxury Bath Robe,$667.67,$618.94,5/25/2025
198,Food - Condiments,Spicy BBQ Sauce,$795.27,$384.96,8/15/2024
199,Kitchen,Pasta Maker,$278.32,$717.97,6/16/2025
200,Crafts,DIY Lip Balm Kit,$206.21,$370.51,10/19/2025
201,Accessories,Magnetic Phone Case,$734.66,$917.66,8/31/2024
202,Outdoor,Collapsible Folding Chair,$594.35,$940.49,2/13/2025
203,Office,Adjustable Standing Desk,$692.68,$492.45,2/3/2024
204,Home,Decorative Wall Tapestry,$159.97,$651.76,2/20/2025
205,Toys,Interactive Robot Toy,$609.81,$560.55,5/1/2025
206,Office,Adjustable Height Standing Desk Converter,$931.02,$488.57,5/12/2024
207,Food - Spices & Seasonings,Chili Con Carne Mix,$472.04,$679.57,10/19/2025
208,Food - Meat,Herbed Chicken Breast,$863.41,$351.08,6/25/2025
209,Food - Condiments,Chocolate Syrup,$572.01,$971.41,7/30/2025
210,Food - Canned Goods,Organic Tomato Soup,$833.90,$732.41,4/3/2024
211,Home,Portable Electric Fan,$47.22,$448.93,4/8/2024
212,Clothing - Dresses,Classic Black Dress,$889.42,$621.48,1/17/2026
213,Food - Canned Goods,Chili Beans (canned),$872.17,$859.52,11/1/2024
214,Clothing - Tops,Floral Wrap Top,$668.48,$60.38,11/20/2025
215,Footwear,Hiking Boots,$447.02,$158.90,8/3/2024
216,Food - Dairy,Hummus Variety Pack,$621.16,$28.55,4/9/2024
217,Audio,Bluetooth Shower Speaker,$895.84,$522.58,11/21/2024
218,Office,Leather Notebook Cover,$839.83,$213.79,2/8/2026
219,Accessories,Wireless Charging Pad,$279.74,$685.73,2/2/2026
220,Food - Cheese,Buffalo Stilton Cheese,$167.56,$581.38,8/31/2024
221,Food - Frozen Foods,Frozen Cauliflower Rice,$767.84,$73.71,3/6/2024
222,Art Supplies,Sketchbook,$314.33,$354.48,2/20/2024
223,Outdoor,Collapsible Camping Cup,$131.95,$797.10,1/22/2025
224,Food - Soups,Savory Pumpkin Soup,$220.64,$477.74,12/26/2025
225,Art Supplies,Sketchbook,$707.14,$620.15,1/12/2025
226,Fitness,Adjustable Yoga Mat Strap,$920.33,$335.20,12/26/2025
227,Home,Wine Decanter,$38.00,$133.97,6/3/2024
228,Food - Beverages,Kombucha Drink,$337.83,$341.62,3/22/2024
229,Electronics,Rechargeable Laptop Battery Pack,$448.71,$438.06,10/7/2024
230,Food - Frozen Food,Mixed Berry Smoothie Pack,$880.67,$823.92,7/3/2024
231,Kitchen,Personal Blender,$469.14,$183.00,2/10/2024
232,Clothing - Pants,Faux Leather Leggings,$454.11,$140.00,2/1/2024
233,Food - Breakfast,Pumpkin Spice Pancake Mix,$378.40,$307.49,11/22/2024
234,Clothing - Tops,Vintage Graphic Tee,$627.19,$305.74,9/12/2025
235,Home,Luxury Memory Foam Mattress Topper,$918.34,$886.20,10/24/2024
236,Food - Sauces,Sriracha Honey Glaze,$272.43,$624.01,3/4/2026
237,Home,Fleece Throw Blanket,$85.12,$24.47,8/23/2024
238,Food - Vegetables,Grilled Vegetable Medley,$432.35,$758.07,8/16/2024
239,Food - Canned Goods,Apple Sauce,$301.16,$387.50,8/15/2025
240,Fitness,Yoga Blocks,$646.95,$530.74,8/29/2024
241,Fitness,Fitness Mat,$392.75,$797.63,8/4/2024
242,Food - Condiments,Zesty Garlic Marinade,$107.87,$897.25,7/18/2024
243,Office,Customizable Wall Calendar,$739.23,$553.10,3/8/2026
244,Outdoor,Portable Water Filter,$519.90,$440.17,10/7/2024
245,Food - Household,Toilet Paper (12 rolls),$946.40,$933.39,7/31/2024
246,Outdoor,Outdoor Portable Fire Pit,$925.38,$639.36,2/12/2025
247,Food - Frozen Vegetables,Baked Falafel Balls,$208.79,$580.94,6/30/2024
248,Food - Condiments,Spicy Kimchi,$923.84,$969.80,3/19/2025
249,Food - Meat,Honey Garlic Chicken,$120.96,$512.38,8/23/2025
250,Clothing - Outerwear,Athletic Jogging Jacket,$650.86,$520.40,10/3/2025
251,Food - Frozen,Vegetable Korma,$888.06,$521.79,12/28/2025
252,Home Improvement,Non-Toxic Concrete Sealer,$147.01,$374.33,6/8/2025
253,Food - Condiments,Orange Ginger Vinaigrette,$731.66,$546.21,3/22/2024
254,Fitness,Collapsible Water Bottle,$114.17,$281.78,4/5/2025
255,Books,Field Journal,$248.66,$191.38,2/16/2025
256,Kitchen,Electric Kettle with Temperature Control,$44.87,$372.50,1/28/2026
257,Office,Safety Pin Dispenser,$786.70,$879.55,12/12/2024
258,Fitness,Travel Yoga Mat,$457.37,$786.79,4/15/2024
259,Food - Breakfast,Maple Oatmeal,$10.42,$374.54,6/26/2024
260,Kitchen,Electric Hot Water Dispenser,$762.96,$359.43,1/29/2025
261,Food - Canned Goods,Tuna Fish (canned),$51.65,$413.82,6/30/2024
262,Art Supplies,Art Supplies Organizer,$27.91,$955.11,4/2/2024
263,Food - Fruits,Sliced Strawberries,$277.68,$194.44,4/28/2024
264,Food - Prepared Foods,Chickpea Salad,$738.27,$930.06,6/19/2025
265,Food - Condiments,Sriracha Hot Chili Sauce,$592.09,$47.60,8/21/2024
266,Food - Snacks,Creamy Avocado Dip,$839.29,$800.65,8/8/2024
267,Food - Snacks,Pepperoni Pizza Rolls,$516.01,$920.79,11/27/2025
268,Outdoor,Telescope,$49.80,$646.40,2/23/2024
269,Food - Seafood,Teriyaki Salmon Fillets,$330.52,$577.52,7/3/2025
270,Food - Condiments,Italian Herb Balsamic Marinade,$828.83,$618.39,2/5/2026
271,Outdoor,Outdoor Adventure Backpack,$143.38,$394.30,11/8/2024
272,Clothing - Activewear,Lightweight Workout Tank,$774.19,$994.90,8/27/2025
273,Food - Baking,Cinnamon Roll Kit,$164.64,$472.10,9/30/2024
274,Food - Dairy,Feta Cheese Crumbles,$296.76,$323.42,1/2/2024
275,Food - Bakery,Cranberry Almond Cookies,$229.44,$81.62,5/15/2024
276,Music,Electronic Drum Kit,$932.37,$744.70,2/17/2024
277,Food - Canned Goods,Tuna Fish (canned),$230.88,$548.49,10/30/2025
278,Food - Canned Goods,Spaghetti Sauce,$470.82,$616.80,12/4/2025
279,Kitchen,Silicone Baking Mat Set,$867.34,$282.58,8/31/2024
280,Food - Condiments,Avocado Oil Mayo,$259.31,$846.95,10/18/2025
281,Outdoor,Window Bird Feeder,$446.00,$694.54,3/20/2024
282,Clothing - Outerwear,Luxe Velvet Blazer,$23.41,$82.80,1/13/2024
283,Home,Mesh Laundry Bags Set,$43.18,$716.54,2/26/2024
284,Food - Desserts,Chocolate Avocado Pudding,$472.89,$693.28,2/1/2024
285,Electronics,Portable USB-C Monitor,$406.45,$23.44,8/12/2024
286,Kitchen,Non-Stick Baking Sheet,$866.71,$150.64,3/26/2024
287,Food - Frozen Foods,Frozen Berry Blend,$989.01,$330.02,3/8/2026
288,Clothing - Outerwear,Fleece Hoodie,$470.70,$868.83,3/5/2024
289,Food - Baking Goods,Baking Powder,$67.64,$352.09,11/25/2024
290,Food - Canned Goods,Classic Beef Chili,$618.00,$842.21,9/16/2024
291,Food - Snacks,Beef Jerky,$360.89,$73.77,1/31/2024
292,Food - Baking & Cooking,Almond Flour Tortillas,$85.98,$891.76,9/30/2025
293,Food - Beverages,Peach Mango Smoothie,$272.43,$339.49,3/23/2025
294,Kitchen,Insulated Lunch Bag,$540.03,$19.88,2/12/2026
295,Home,Wall-Mounted Organizer,$428.06,$564.11,1/13/2024
296,Food - Condiments,Dill Pickle Chips,$142.54,$600.03,3/7/2025
297,Food - Bakery,Pumpkin Spice Cookies,$897.86,$260.73,7/16/2025
298,Tools,Cordless Electric Screwdriver,$955.20,$384.46,1/9/2024
299,Kitchen,Digital Food Thermometer,$841.25,$131.96,3/12/2026
300,Accessories,Phone Case,$771.23,$954.07,3/15/2025
301,Kitchen,Digital Food Thermometer,$403.27,$250.96,12/6/2025
302,Kitchen,Silicone Baking Molds,$353.01,$404.60,3/2/2024
303,Toys,Magnetic Puzzle Board,$635.57,$629.57,11/19/2024
304,Kitchen,Cold Brew Coffee Maker,$283.69,$891.25,1/23/2024
305,Clothing - Tops,Chunky Knit Sweater,$218.36,$735.40,8/25/2024
306,Food - Baking,Organic Almond Flour,$806.12,$779.50,5/23/2024
307,Garden,DIY Organic Gardening Kit,$745.02,$413.30,8/12/2025
308,Beauty,Skincare Fridge,$912.07,$666.90,9/5/2024
309,Food - Snacks,Honeycrisp Apple Chips,$754.43,$849.25,9/14/2024
310,Clothing - Outerwear,Leather Biker Jacket,$601.41,$824.69,9/12/2024
311,Food - Spices,Garam Masala Spice Blend,$472.15,$363.24,4/29/2025
312,Food - Frozen Foods,Vegetable Lasagna,$722.34,$59.15,6/8/2024
313,Home,Soft Plush Throw Blanket,$470.37,$367.71,11/21/2024
314,Food - Breakfast,Flavored Instant Oatmeal,$755.93,$903.07,7/13/2025
315,Pets,Portable Pet Bathing Tool,$597.77,$935.67,10/25/2024
316,Electronics,High-Speed HDMI Cable,$210.24,$949.78,5/9/2025
317,Kitchen,Dish Soap Dispenser,$267.59,$151.72,9/20/2024
318,Home,Eco-Friendly Cleaning Cloths,$168.03,$142.76,7/22/2025
319,Clothing - Outerwear,Lightweight Rain Jacket,$919.62,$525.09,3/29/2025
320,Food - Condiments,Caramel Sauce,$863.30,$300.53,2/19/2025
321,Food - Prepared Foods,Chickpea Salad,$446.44,$863.12,10/13/2024
322,Health,Portable UV Sterilizer,$357.78,$314.23,2/1/2025
323,Accessories,Travel Jewelry Case,$870.08,$42.92,2/21/2026
324,Food - Condiments,Roasted Garlic,$331.31,$89.01,11/24/2024
325,Audio,Portable Bluetooth Speaker,$184.06,$703.27,1/8/2026
326,Office,Desk Lamp with USB Port,$946.43,$438.72,6/5/2024
327,Accessories,Wireless Earbuds Case,$166.16,$952.84,11/28/2024
328,Outdoor,Overnight Hiking Backpack,$640.82,$891.33,5/25/2024
329,Food - Vegetables,Zucchini Noodle Pasta,$141.69,$662.25,9/3/2024
330,Clothing - Activewear,Graphic Print Leggings,$711.25,$116.42,1/14/2026
331,Audio,Home Karaoke System,$494.45,$364.07,8/20/2025
332,Clothing - Activewear,Athletic Sports Bra,$323.61,$31.95,2/3/2025
333,Food - Canned Goods,Apple Pie Filling,$666.57,$551.23,3/3/2024
