id,category,descripcion,income,budget,date
334,Food - Breakfast,Apple Cinnamon Oatmeal,$853.97,$300.02,10/24/2025
335,Food - Grains,Basmati Rice,$384.06,$783.15,7/11/2025
336,Food - Condiments,Pesto Genovese,$609.69,$803.47,12/22/2025
337,Food - Condiments,Tahini,$746.20,$874.05,1/15/2025
338,Clothing - Tops,V-Neck Sweater,$855.30,$94.65,10/13/2025
339,Food - Meat Alternatives,Grilled Veggie Burgers,$950.78,$578.36,1/1/2024
340,Home,Wall-Mounted Organizer,$655.32,$167.49,9/24/2024
341,Food - Condiments,Apricot Jam,$944.73,$242.06,2/17/2024
342,Office,Smart LED Desk Lamp,$417.99,$656.83,2/12/2024
343,Food - Baking,Sooji (Semolina),$421.21,$737.74,12/28/2025
344,Food - Canned Goods,Creamy Tomato Basil Soup,$837.23,$681.77,4/3/2025
345,Food - Frozen Foods,Sweet Potato Fries,$810.62,$258.35,11/17/2024
346,Health,Infrared Thermometer,$654.15,$889.77,9/13/2025
347,Food - Dairy,Low-Fat Yogurt,$122.11,$853.82,4/24/2025
348,Food - Canned Goods,Chili Beans in Sauce,$879.89,$673.36,10/22/2025
349,Toys,Wooden Children's Play Kitchen,$31.03,$71.67,6/23/2024
350,Food - Confectionery,Caramel Apple Taffy,$938.41,$359.81,2/11/2024
351,Food - Grains,Mediterranean Couscous,$616.92,$57.69,2/9/2025
352,Kitchen,Juice Extractor,$764.23,$270.39,5/20/2025
353,Food - Snacks,Fruit & Nut Trail Mix,$932.39,$526.42,1/31/2024
354,Food - Canned Goods,Tomato Sauce,$515.58,$921.56,7/9/2024
355,Food - Seafood,Garlic Butter Shrimp,$36.81,$334.82,10/14/2025
356,Home,LED Desk Light,$833.23,$901.75,8/21/2025
357,Food - Baking Goods,Organic Coconut Sugar,$734.39,$189.88,10/14/2024
358,Accessories,Compact Umbrella,$997.49,$215.33,11/23/2025
359,Clothing - Footwear,Classic Pumps,$103.57,$925.71,12/28/2025
360,Clothing - Activewear,Sporty Leggings,$843.57,$243.21,8/23/2025
361,Fitness,Fitness Mat,$823.39,$638.45,10/4/2025
362,Outdoor,Camping Tent,$616.57,$223.68,6/29/2024
363,Outdoor,Bicycle Repair Kit,$896.46,$369.81,6/7/2024
364,Food - Nuts,Pine Nuts,$661.53,$599.46,6/2/2024
365,Food - Dairy,Smoked Gouda Cheese,$271.65,$632.21,12/22/2024
366,Home,Bamboo Bathtub Caddy,$528.42,$30.20,5/30/2024
367,Food - Frozen Meals,Mini Meatballs,$351.22,$835.60,12/15/2024
368,Food - Vegetables,Zucchini Noodles,$627.49,$506.19,8/2/2024
369,Clothing - Footwear,Ankle Boots,$753.46,$556.91,1/29/2025
370,Food - Salad Toppings,Herb Seasoned Croutons,$776.32,$812.13,9/13/2024
371,Tools,Multifunctional Pocket Tool,$539.13,$505.43,9/1/2025
372,Travel,Travel Pillow,$732.63,$177.30,12/2/2024
373,Food - Snacks,Black Bean Salsa,$532.09,$871.94,4/5/2024
374,Food - Spices,Savory Italian Herbs,$414.02,$789.90,1/22/2026
375,Food - Snacks,Nut Mix,$659.37,$761.51,9/14/2024
376,Kitchen,Heat-Resistant Silicone Mat,$989.84,$787.22,10/12/2024
377,Electronics,Kids Tablet,$926.36,$492.90,2/21/2024
378,Photography,Camera Tripod,$561.96,$871.58,1/16/2026
379,Food - Canned Goods,Classic Beef Chili,$352.46,$873.84,7/17/2024
380,Kitchen,Multi-Layer Food Steamer,$295.45,$231.67,3/31/2024
381,Clothing - Activewear,Sporty Leggings,$103.22,$444.58,1/11/2025
382,Food - Snacks,Peanut Butter Filled Pretzels,$480.01,$69.53,4/3/2025
383,Home,Decorative LED Neon Sign,$525.30,$46.58,6/24/2024
384,Home Appliances,Handheld Vacuum,$264.17,$58.14,4/9/2024
385,Kitchen,Wall-Mounted Spice Rack,$292.23,$503.76,11/19/2025
386,Home Appliances,Stick Vacuums Cleaner,$243.63,$620.64,8/21/2024
387,Food - Bakery,Cinnamon Roll Dough,$856.10,$517.35,5/14/2025
388,Food - Snacks,Caramel Apple Chips,$357.54,$56.37,5/14/2025
389,Kitchen,Personal Blender with Cups,$485.25,$556.62,1/4/2026
390,Kitchen,Reusable Coffee Filter,$626.70,$429.05,8/9/2024
391,Health,Infrared Thermometer,$18.28,$60.41,12/6/2024
392,Food - Grains,Chia Seeds,$835.04,$876.34,2/16/2025
393,Food - Beverages,Turmeric Ginger Tea,$607.72,$962.85,3/1/2026
394,Electronics,Kids' Educational Tablet,$494.66,$621.02,2/16/2026
395,Kitchen,Electric Milk Frother,$468.57,$547.89,2/11/2024
396,Books,Coloring Books for Adults,$786.14,$642.96,9/8/2024
397,Food - Meat Alternatives,Grilled Veggie Burgers,$627.04,$676.16,5/30/2024
398,Fitness,Fitness Jump Box,$494.71,$552.22,7/27/2025
399,Home,Wall Decals for Kids,$384.92,$399.22,11/22/2025
400,Automotive,Car Diagnostic Scanner,$400.73,$901.33,12/30/2024
401,Kitchen,Cereal Dispenser with Portion Control,$660.67,$917.26,2/28/2024
402,Food - Dairy,Garlic & Herb Goat Cheese,$95.87,$712.63,2/3/2026
403,Food - Sauces,Lemon Basil Pasta Sauce,$521.34,$854.18,10/11/2025
404,Food - Canned Goods,Cinnamon Apple Sauce,$546.49,$471.41,8/21/2024
405,Travel,Travel Pillow,$931.60,$331.82,7/13/2025
406,Food - Beverages,Peach Green Tea,$769.20,$344.34,5/27/2024
407,Pets,Portable Pet Pooper Scooper,$721.01,$547.41,5/4/2025
408,Food - Meat,Lemon Herb Chicken,$381.61,$557.94,1/15/2025
409,Clothing - Dresses,Elegant Lace Dress,$548.86,$54.43,1/26/2026
410,Wearable Tech,Smartwatch,$487.77,$150.55,1/16/2024
411,Health,Foot Spa Bath Massager,$167.31,$874.35,4/7/2025
412,Kitchen,Spiralizer,$207.48,$202.85,11/14/2025
413,Food - Baking,Gluten-Free Biscuits,$958.09,$295.33,10/11/2025
414,Food - Cereals,Maple Cinnamon Granola,$617.14,$121.07,2/6/2025
415,Fitness,Fitness Resistance Bands Kit,$637.35,$795.51,9/27/2024
416,Food - Cereals,Maple Cinnamon Granola,$217.46,$604.79,6/2/2024
417,Food - Fresh Produce,Vegetable Stir Fry Mix,$819.62,$155.84,7/18/2024
418,Food - Sauces,Italian Marinara Sauce,$127.99,$312.40,6/16/2024
419,Food - Salads,Kale Salad Kit,$504.09,$205.01,5/27/2025
420,Audio,Bluetooth Sleep Headphones,$733.61,$483.61,3/30/2025
421,Food - Frozen Meals,Mini Meatballs,$404.98,$914.80,3/2/2026
422,Toys,Toy Building Set,$328.67,$749.46,1/28/2026
423,Health,Smartphone UV Sanitizer,$550.93,$50.47,9/15/2024
424,Photography,Smartphone Camera Lens Kit,$370.84,$826.00,4/10/2024
425,Food - Frozen Vegetables,Buffalo Style Cauliflower Bites,$890.73,$220.38,10/23/2024
426,Clothing,Sun Protection Clothing,$542.35,$532.57,2/14/2024
427,Food - Meat,Lemon Dill Chicken Skewers,$110.13,$100.58,1/5/2025
428,Crafts,DIY Lip Balm Making Kit,$865.06,$730.63,1/22/2024
429,Office,LED Desk Lamp with USB Charging,$764.96,$35.77,2/13/2025
430,Food - Beverages,Cucumber Lime Sparkling Water,$339.45,$355.09,7/30/2024
431,Accessories,Handcrafted Wooden Jewelry Box,$928.22,$41.66,3/3/2026
432,Food - Prepared Foods,BBQ Jackfruit,$810.74,$676.28,5/29/2025
433,Health,Mini Air Purifier,$298.90,$34.26,9/6/2025
434,Electronics,Portable Bluetooth Keyboard,$570.84,$31.95,11/10/2024
435,Home,Memory Foam Mattress Pad,$93.29,$601.66,2/10/2025
436,Kitchen,Aeropress Coffee Maker,$530.98,$99.30,2/21/2024
437,Food - Frozen Desserts,Pistachio Ice Cream,$224.19,$366.91,4/4/2025
438,Clothing - Tops,Relaxed Fit Henley Shirt,$915.65,$172.25,2/28/2025
439,Food - Condiments,Avocado Lime Dressing,$213.70,$220.96,3/10/2026
440,Clothing - Outerwear,Two-Tone Windbreaker,$421.54,$609.20,12/17/2025
441,Crafts,DIY Candle Kit,$901.67,$54.46,10/10/2025
442,Food - Snacks,Aged White Cheddar Popcorn,$350.64,$820.07,6/27/2024
443,Accessories,Handcrafted Wooden Jewelry Box,$19.12,$830.90,4/10/2025
444,Food - Snacks,Peanut Butter Protein Balls,$664.99,$97.93,6/2/2025
445,Kitchen,Indoor Grill,$232.33,$415.35,9/12/2024
446,Food - Condiments,Avocado Oil Mayo,$842.13,$534.79,4/27/2024
447,Food - Bakery,Gluten-Free Bread,$959.89,$431.04,11/18/2024
448,Kitchen,Oven Thermometer,$582.88,$892.28,6/2/2024
449,Food - Snacks,Honey Sesame Cashews,$758.73,$691.07,2/20/2024
450,Outdoor,Telescope,$549.07,$158.98,11/5/2024
451,Tools,Cordless Electric Screwdriver,$154.49,$408.61,12/25/2024
452,Garden,Smart Plant Monitor,$923.49,$677.56,4/16/2025
453,Food - Baking,Gluten-Free Brownies,$827.55,$51.02,7/26/2025
454,Food - Condiments,Classic Caesar Dressing,$19.42,$335.00,7/22/2024
455,Outdoor,Tactical Backpack,$53.43,$912.08,2/20/2026
456,Food - Dips,Traditional Hummus,$260.86,$128.22,1/17/2026
457,Food - Condiments,Honey,$655.90,$202.58,3/19/2025
458,Food - Oils,Herb-Infused Olive Oil,$477.28,$510.04,1/11/2024
459,Clothing - Dresses,Maxi Wrap Dress,$631.41,$870.97,11/11/2025
460,Baby,Baby Monitor,$835.05,$339.25,5/21/2024
461,Food - Baking,Chocolate Mint Cookies,$15.51,$824.34,4/12/2025
462,Food - Frozen,Coconut Rice,$621.38,$138.90,8/26/2024
463,Home Improvement,Electric Pressure Washer,$900.82,$744.51,2/3/2026
464,Food - Frozen,Cheddar & Bacon Potato Skins,$833.19,$423.82,10/1/2025
465,Food - Dairy,Garlic and Herb Cream Cheese,$691.40,$91.12,12/23/2025
466,Accessories,Wireless Charging Pad,$887.25,$195.78,4/24/2024
467,Food - Meal Kits,Pasta Primavera Kit,$243.60,$713.55,11/11/2025
468,Food - Vegetarian,Baked Falafel,$278.28,$730.11,12/2/2024
469,Home,Window Blinds,$280.36,$797.55,11/4/2025
470,Outdoor,Portable Solar Generator,$163.93,$456.47,3/5/2026
471,Food - Baking,Organic Coconut Flour,$260.74,$511.75,2/11/2026
472,Food - Frozen Foods,Veggie Lovers Pizza,$545.15,$368.17,9/20/2025
473,Clothing - Outerwear,Fleece Hoodie,$765.82,$781.57,5/18/2024
474,Food - Condiments,Orange Ginger Vinaigrette,$298.61,$479.24,5/9/2024
475,Home Improvement,Electric Pressure Washer,$268.32,$895.11,3/22/2025
476,Food - Grains,Quinoa,$77.72,$894.05,9/11/2025
477,Clothing,Winter Knit Beanie,$858.03,$629.81,1/13/2025
478,Toys,Mini Hand Gesture Drone,$26.60,$430.03,6/13/2024
479,Home,Mesh Laundry Bags Set,$975.41,$451.97,2/13/2024
480,Food - Meat,Beef Stew Meat,$877.03,$195.50,6/28/2024
481,Food - Sauces,Tomato Basil Pasta Sauce,$776.98,$74.61,3/22/2025
482,Home,Mesh Laundry Bags Set,$498.07,$65.67,1/26/2026
483,Food - Snacks,Hummus,$798.43,$807.45,3/2/2024
484,Food - Sides,Mashed Sweet Potatoes,$178.51,$682.30,1/27/2024
485,Food - Snacks,Crispy Chickpeas,$609.76,$554.60,10/1/2025
486,Food - Fresh Produce,Organic Baby Carrots,$820.63,$469.31,12/16/2025
487,Kitchen,Pizza Stone,$919.09,$38.89,5/8/2025
488,Kitchen,Non-Stick Crepe Pan,$317.91,$654.79,4/9/2025
489,Pets,Pet Bed with Removable Cover,$395.38,$292.93,7/29/2024
490,Home,LED Desk Light,$900.28,$966.39,9/27/2025
491,Home,LED Strip Lights Kit,$436.36,$881.12,6/3/2024
492,Kitchen,Silicone Baking Molds,$341.25,$810.23,6/19/2025
493,Accessories,Wireless Charging Pad,$735.83,$446.64,7/21/2024
494,Pets,Dog Training Whistle,$658.85,$353.16,11/3/2025
495,Food - Sauces,Italian Marinara Sauce,$352.92,$450.81,3/3/2024
496,Food - Frozen Meals,Spicy Thai Noodles,$785.11,$635.34,5/2/2025
497,Food - Snacks,Trail Mix (Deluxe),$345.33,$997.13,12/29/2025
498,Food - Health/Protein,Vanilla Protein Powder,$705.74,$391.91,2/4/2024
499,Food - Meat,Andouille Sausage,$369.14,$249.67,12/10/2025
500,Toys,Puzzle,$482.53,$514.72,7/5/2024
501,Home,Wall Decals for Kids,$877.68,$438.60,7/14/2025
502,Food - Salads,Kale & Quinoa Salad Mix,$692.41,$171.50,1/8/2024
503,Clothing - Jumpsuits,Wrap Jumpsuit,$592.88,$591.10,11/8/2025
504,Food - Meats,Savory Breakfast Sausage,$207.83,$462.16,3/24/2024
505,Food - Beverages,Coconut Water,$185.70,$707.53,3/14/2024
506,Audio,Portable Speaker Stand,$788.20,$452.35,9/14/2025
507,Food - Snacks,Vegetable Chips,$904.33,$443.89,11/17/2025
508,Food - Breakfast Foods,Cranberry Pecan Granola,$668.55,$218.65,8/14/2024
509,Health,Bamboo Toothbrush,$234.26,$140.55,2/6/2026
510,Food - Condiments,Sweet BBQ Dipping Sauce,$600.63,$83.52,11/21/2024
511,Outdoor,Window Bird Feeder,$542.59,$357.94,7/19/2025
512,Food - Breakfast,Maple Oatmeal,$999.44,$349.78,10/6/2025
513,Toys,Wooden Toy Train Set,$368.69,$283.23,1/13/2025
514,Clothing - Outerwear,Puffer Winter Coat,$112.41,$564.92,10/17/2025
515,Food - Snacks,Pretzel Bites,$988.19,$139.76,4/17/2025
516,Food - Snacks,Almond Butter Cups,$47.15,$492.60,9/30/2025
517,Food - Produce,Brussels Sprouts,$287.75,$713.41,3/5/2024
518,Food - Seafood,Lemon Garlic Shrimp,$61.70,$713.67,9/27/2024
519,Toys,Mini Hand Gesture Drone,$468.80,$381.04,2/21/2026
520,Food - Baking,Almond Flour Bread Mix,$511.03,$715.72,9/3/2024
521,Kitchen,Cereal Dispenser with Portion Control,$83.99,$230.44,10/7/2024
522,Electronics,Digital Voice Recorder,$426.86,$25.81,1/1/2026
523,Food - Frozen Foods,Pasta Primavera,$992.09,$656.37,5/5/2024
524,Food - Vegetable,Chilli Lime Corn on the Cob,$303.65,$801.25,10/10/2025
525,Accessories,Wireless Charging Pad,$505.43,$806.99,11/11/2024
526,Food - Condiments,Sweet Chili Thai Sauce,$376.48,$206.21,8/17/2024
527,Outdoor,Hiking Water Bottle with Filter,$558.52,$574.32,6/8/2025
528,Food - Breakfast,Vanilla Almond Granola,$979.00,$967.49,4/17/2024
529,Food - Cereal,Nutty Granola Clusters,$414.58,$822.04,1/10/2026
530,Pets,Dog Frisbee Toy,$76.55,$361.25,5/26/2024
531,Food - Produce,Zucchini,$426.32,$254.85,7/21/2025
532,Food - Frozen Foods,Frozen Cauliflower Rice,$823.71,$919.51,10/6/2024
533,Travel,Travel Orthopedic Pillow,$206.98,$616.71,3/25/2025
534,Home,LED Desk Light,$75.92,$134.14,4/13/2024
535,Food - Condiments,Potato Wedge Seasoning,$959.37,$133.76,12/2/2024
536,Outdoor,Outdoor Camping Hammock,$690.25,$145.96,12/12/2025
537,Food - Snacks,Honey Roasted Almonds,$40.91,$760.60,2/1/2025
538,Food - Beverages,Matcha Green Tea Powder,$505.76,$808.11,8/16/2025
539,Food - Vegetables,Balsamic Glazed Brussels Sprouts,$994.58,$537.03,5/17/2025
540,Food - Breakfast,Organic Granola Cereal,$194.23,$930.30,1/13/2025
541,Clothing - Loungewear,Cotton Pajama Set,$702.45,$234.32,5/5/2024
542,Food - Snacks,Granola Bars,$30.56,$762.73,1/30/2024
543,Food - Frozen Meals,Spicy Thai Noodles,$472.31,$852.61,9/9/2024
544,Clothing - Tops,Classic White T-Shirt,$829.20,$801.78,10/10/2025
545,Food - Grains,White Rice,$686.79,$413.18,6/15/2025
546,Furniture,Adjustable Bar Stools,$614.08,$740.42,11/4/2025
547,Garden,Self-Watering Planters,$850.00,$675.44,6/24/2025
548,Food - Salads,Chipotle Black Bean Salad,$661.73,$524.31,2/3/2025
549,Home,Microfiber Cleaning Cloths,$986.22,$948.44,12/8/2024
550,Garden,Self-Watering Planter,$847.05,$199.07,6/7/2025
551,Food - Bakery,Cinnamon Rolls,$241.39,$220.58,1/22/2026
552,Clothing,Winter Knit Beanie,$258.50,$778.08,3/27/2025
553,Food - Canned Goods,Cinnamon Apple Sauce,$680.54,$612.84,3/20/2025
554,Pets,Adjustable Dog Harness,$261.33,$913.12,10/19/2025
555,Food - Baking,Sesame Seeds,$931.82,$881.72,11/17/2024
556,Food - Bakery,Mediterranean Flatbread,$625.51,$684.12,2/8/2026
557,Food - Sauces,Classic Pesto Sauce,$893.71,$625.76,6/15/2025
558,Toys,Children's Science Experiment Lab Kit,$944.95,$478.32,9/14/2025
559,Electronics,Wireless HDMI Transmitter,$613.07,$573.36,9/7/2025
560,Food - Oils & Vinegars,Lemon Zest Olive Oil,$74.60,$206.62,2/17/2025
561,Kitchen,Multi-Layer Food Steamer,$754.10,$391.25,1/7/2024
562,Clothing - Shoes,Chic Ankle Strap Heels,$916.17,$376.70,3/13/2026
563,Food - Frozen Fruits,Mango Chunks,$174.22,$155.09,2/19/2024
564,Fitness,Fitness Resistance Bands,$383.92,$99.81,5/6/2024
565,Photography,Smartphone Tripod with Remote,$218.31,$592.86,9/17/2024
566,Home,Handheld Garment Steamer,$720.32,$308.65,9/21/2025
567,Clothing - Outerwear,Belted Trench Coat,$154.29,$166.00,10/17/2025
568,Home,LED Table Lamp,$226.65,$877.87,3/22/2025
569,Food - Condiments,Mango Chutney,$240.29,$578.21,1/27/2026
570,Kitchen,Pasta Maker,$415.36,$195.87,2/24/2026
571,Fitness,Foldable Yoga Mat Carry Bag,$131.26,$883.21,4/3/2025
572,Food - Frozen Foods,Sweet Potato Mash,$97.05,$284.75,12/16/2024
573,Food - Sauces,Vegan Alfredo Sauce,$816.08,$209.93,3/8/2025
574,Kitchen,Electric Opener for Jars and Bottles,$303.21,$720.77,2/1/2026
575,Kitchen,Silicone Baking Mat,$112.29,$378.49,1/24/2026
576,Food - Frozen,Vegetable Korma,$395.03,$34.68,7/26/2024
577,Home,Electric Wax Warmer,$375.53,$661.55,3/3/2025
578,Food - Canned Goods,Organic Tomato Soup,$588.96,$521.08,10/7/2025
579,Pets,Pet Caress Brush,$346.63,$510.19,9/29/2025
580,Beauty,Nail Polish Set,$366.22,$863.32,3/31/2025
581,Clothing - Bottoms,Stylish Wide-Leg Trousers,$631.95,$124.21,3/13/2026
582,Kitchen,Silicone Baking Cups,$506.07,$400.05,10/18/2025
583,Travel,Lightweight Travel Backpack,$467.61,$108.50,10/5/2024
584,Outdoor,Window Bird Feeder with Suction Cups,$774.18,$49.11,2/19/2026
585,Food - Breakfast,Protein Pancake Mix,$44.62,$682.52,6/26/2024
586,Clothing - Accessories,Knitted Infinity Scarf,$797.55,$286.76,6/1/2025
587,Food - Frozen Desserts,Chocolate Fudge Ice Cream,$591.04,$888.25,11/5/2025
588,Food - Prepared Meals,Lentil Vegetable Curry,$39.90,$374.67,9/14/2025
589,Food - Salads,Harvest Grain Salad,$423.76,$924.59,12/18/2025
590,Food - Frozen Foods,Berry Smoothie Mix,$889.27,$496.82,8/11/2024
591,Accessories,Sunglasses,$229.19,$570.40,8/1/2025
592,Food - Vegetables,Zucchini Noodle Pasta,$208.94,$874.85,8/8/2025
593,Health,Foot Massager,$446.20,$320.22,8/26/2024
594,Food - Prepared Meals,Beef Enchilada Casserole,$463.54,$337.76,5/20/2025
595,Fitness,Insulated Sport Tumbler,$855.95,$891.82,1/16/2024
596,Health,Rechargeable Electric Toothbrush,$546.29,$431.27,6/15/2025
597,Food - Frozen Desserts,Cinnamon Ice Cream,$540.38,$384.05,9/25/2024
598,Kitchen,Electric Kettle with Temperature Control,$442.02,$898.86,1/16/2025
599,Food - Snacks,Aged White Cheddar Popcorn,$939.13,$79.74,9/26/2024
600,Pets,Pet Hair Vacuum Cleaner Attachment,$988.94,$439.63,1/5/2024
601,Kitchen,Siphon Coffee Maker,$152.31,$593.61,11/28/2024
602,Food - Breakfast,Buttermilk Pancakes,$211.83,$733.61,8/2/2025
603,Food - Produce,Fresh Cilantro,$15.25,$397.12,11/12/2025
604,Food - Bakery,Classic Bagels,$255.16,$209.16,5/11/2025
605,Food - Condiments,Mango Chilli Sauce,$370.33,$59.75,4/6/2025
606,Fitness,Fruit Infuser Water Bottle,$428.18,$253.89,3/20/2025
607,Food - Prepared Meals,Spicy Tuna Sushi Kit,$65.77,$581.75,1/13/2025
608,Food - Snacks,Puffed Rice Cake,$980.54,$123.54,2/25/2024
609,Clothing - Shirts,Essential White Button-Up,$218.52,$401.39,2/23/2026
610,Outdoor,Outdoor Adventure Kit,$562.71,$976.14,2/17/2024
611,Food - Condiments,Tahini,$197.49,$906.46,8/6/2024
612,Food - Condiments,Apricot Jam,$105.99,$418.05,10/17/2024
613,Food - Soups,Miso Soup Mix,$309.38,$604.02,1/20/2026
614,Food - Frozen Desserts,Organic Vanilla Bean Ice Cream,$61.46,$325.22,11/5/2024
615,Food - Produce,Vegetable Stir-Fry Kit,$261.07,$609.94,1/23/2025
616,Food - Canned Goods,Peach Slices in Syrup,$288.64,$663.41,7/30/2025
617,Travel,Travel Laundry Bag,$654.23,$570.19,8/22/2024
618,Outdoor,Solar String Lights,$998.75,$221.58,1/1/2025
619,Food - Frozen Foods,Cauliflower Gnocchi,$465.23,$779.51,9/22/2024
620,Garden,Garden Hoses with Expandable Features,$433.26,$538.14,12/25/2025
621,Art Supplies,Art Supplies Organizer,$797.98,$836.35,10/30/2024
622,Audio,Voice-Controlled Speaker,$43.99,$152.16,8/11/2025
623,Food - Baking,Organic Coconut Flour,$970.77,$612.32,1/12/2026
624,Food - Canned Goods,Classic Beef Chili,$209.37,$673.97,5/16/2024
625,Food - Frozen Foods,Nordic Berry Smoothie,$366.87,$843.98,5/12/2025
626,Food - Dairy Alternatives,Coconut Milk Yogurt,$235.24,$182.75,7/16/2025
627,Food - Snacks,Chocolate Chip Cliff Bars,$193.80,$149.41,5/25/2025
628,Clothing,Winter Insulated Jacket,$201.36,$256.69,1/13/2024
629,Food - Cereals,Maple Cinnamon Granola,$899.90,$969.80,12/1/2025
630,Food - Beverages,Cranberry Lime Sparkling Water,$42.11,$648.72,10/7/2024
631,Food - Bakery,Artisan Bread,$446.71,$82.95,8/24/2025
632,Home,Soft Plush Throw Blanket,$458.01,$482.62,7/1/2024
633,Home,Digital Thermostat,$983.13,$882.59,4/20/2024
634,Photography,Camera Lens Cleaning Kit,$94.37,$114.09,9/7/2025
635,Health,First Aid Kit,$546.52,$432.97,9/1/2024
636,Outdoor,Collapsible Camping Cup,$895.29,$297.14,3/24/2024
637,Clothing - Sweaters,Casual Cropped Sweater,$595.17,$372.29,10/5/2024
638,Food - Freezer,Buffalo Cauliflower Bites,$259.22,$566.12,6/24/2025
639,Food - Condiments,Pineapple Salsa,$520.08,$75.22,1/10/2026
640,Food - Desserts,Peanut Butter Chocolate Clusters,$633.37,$917.20,10/3/2025
641,Food - Condiments,Sweet Chili Sauce,$585.95,$706.61,10/28/2024
642,Beauty,Electric Nail File Kit,$317.47,$972.49,1/1/2025
643,Clothing - Outerwear,Fleece Hoodie,$346.53,$176.70,1/4/2026
644,Bicycles,Bike Helmet,$302.79,$212.47,5/18/2024
645,Pets,Biodegradable Dog Waste Bags,$847.73,$853.40,2/25/2026
646,Food - Baking,Vanilla Pudding Mix,$935.41,$452.30,11/15/2025
647,Home Appliances,Infrared Space Heater,$54.33,$527.39,3/1/2026
648,Outdoor,Camping Tarp,$36.85,$260.64,5/30/2025
649,Food - Condiments,Classic BBQ Sauce,$604.60,$327.83,8/5/2025
650,Outdoor,Air Mattress,$106.27,$604.15,12/31/2024
651,Kitchen,Pasta Maker,$909.84,$466.95,1/28/2026
652,Food - Condiments,Almond Butter,$10.68,$577.65,11/4/2025
653,Home,Freestanding Wine Rack,$795.17,$892.55,11/30/2025
654,Home,Inspirational Wall Art,$854.37,$805.21,3/18/2024
655,Clothing - Accessories,Knitted Infinity Scarf,$894.68,$923.59,2/1/2026
656,Fitness,High-Quality Yoga Mat,$982.65,$166.39,7/6/2024
657,Pets,Pet Nail Clipper,$255.45,$362.37,7/26/2024
658,Food - Dressings,Balsamic Vinaigrette,$592.88,$307.20,9/29/2024
659,Garden,Adjustable Garden Rake,$840.92,$26.77,9/2/2024
660,Art Supplies,Tattoo Kit,$373.25,$85.25,7/9/2025
661,Office,Portable Laptop Table,$15.12,$559.35,7/30/2025
662,Food - Spreads,Natural Peanut Butter,$394.12,$34.05,10/26/2025
663,Pets,Pet Travel Backpack Carrier,$236.01,$868.47,5/31/2025
664,Food - Breakfast,Cranberry Almond Granola,$958.94,$111.66,4/17/2024
665,Food - Prepared Foods,Chicken Salad Kit,$48.54,$97.59,4/18/2025
666,Food - Bakery,Peanut Butter Cookies,$886.50,$210.08,4/24/2025
