id,category,descripcion,income,budget,date
667,Food - Frozen Foods,Roasted Vegetable Medley,$607.51,$784.52,2/12/2024
668,Kitchen,Waffle Maker,$881.12,$628.96,3/19/2025
669,Food - Produce,Brussels Sprouts,$916.78,$926.06,8/18/2025
670,Food - Snacks,Almond Crunch Granola Bars,$655.50,$308.42,4/20/2024
671,Food - Frozen Foods,Cauliflower Rice Stir-Fry,$58.32,$195.62,12/22/2025
672,Audio,Noise-Canceling Headphones,$963.26,$547.32,7/5/2025
673,Clothing - Jumpsuits,Chic Jumpsuit,$783.78,$506.26,3/2/2025
674,Food - Condiments,Sweet BBQ Dipping Sauce,$136.84,$481.21,6/20/2024
675,Food - Condiments,Spicy Kimchi,$500.50,$890.74,9/20/2025
676,Food - Canned Goods,Peach Slices in Syrup,$34.39,$571.91,2/10/2024
677,Kitchen,Instant Pot,$741.53,$864.96,10/21/2025
678,Outdoor,Camping Tent,$685.68,$367.46,5/26/2025
679,Food - Salads,Kale and Quinoa Salad,$341.39,$993.84,8/12/2024
680,Food - Produce,Grapes (red),$674.67,$563.84,9/22/2024
681,Food - Beverages,Kombucha Drink,$641.41,$611.23,4/23/2024
682,Audio,Portable Speakers,$490.12,$457.30,6/19/2024
683,Kitchen,Electric Opener for Jars and Bottles,$512.02,$521.54,7/12/2025
684,Health,Ice Pack,$695.51,$290.35,7/25/2025
685,Kitchen,Mini Waffle Maker,$484.45,$689.35,6/6/2025
686,Food - Prepared Meals,Buffalo Chicken Wraps,$23.29,$125.58,12/28/2025
687,Clothing - Outerwear,Lightweight Rain Jacket,$54.28,$971.78,4/1/2024
688,Food - Breakfast,Granola,$352.68,$780.08,9/11/2025
689,Kitchen,Mini Electric Kettle,$234.22,$370.10,2/9/2025
690,Food - Grains,Wild Rice & Quinoa Mix,$437.64,$681.99,4/8/2025
691,Food - Condiments,Lemon Garlic Marinade,$956.74,$901.77,12/30/2024
692,Home,Shower Curtain Hooks,$923.55,$505.66,5/10/2025
693,Toys,Magnetic Puzzle Board,$654.84,$930.30,4/20/2024
694,Books,Customizable Photo Calendar,$367.02,$469.44,5/11/2025
695,Food - Bakery,Vegan chocolate chip cookies,$948.56,$33.72,3/10/2024
696,Food - Frozen Foods,Frozen Edamame,$593.12,$120.10,11/28/2025
697,Fitness,Fitness Mat,$241.45,$988.55,3/14/2024
698,Food - Snacks,Organic Cereal Bars,$192.58,$524.80,3/7/2025
699,Food - Frozen Foods,Coconut Curry Chicken,$209.58,$417.46,3/10/2024
700,Health,Foot Massager,$137.44,$907.26,1/31/2024
701,Kitchen,Coffee Making Kit,$136.68,$595.35,3/5/2025
702,Automotive,Wireless Car Charger,$72.59,$406.62,3/13/2025
703,Food - Meat,Ground Turkey,$964.52,$286.97,1/16/2026
704,Food - Dairy,Sliced Cheese,$27.74,$776.34,8/1/2025
705,Food - Baking,Granulated Sugar,$351.75,$637.34,10/19/2025
706,Food - Frozen Fruits,Mango Chunks,$411.98,$203.36,9/14/2025
707,Kitchen,Magnetic Spice Containers,$974.98,$439.64,1/27/2025
708,Food - Frozen Foods,Teriyaki Chicken Stir-Fry,$287.36,$510.62,3/20/2024
709,Food - Meat,Lemon Herb Grilled Chicken,$883.13,$544.47,9/21/2025
710,Home,Microfiber Cleaning Cloth Set,$691.02,$436.47,3/4/2024
711,Home,Woven Storage Baskets,$87.32,$90.07,4/6/2024
712,Food - Condiments,Pineapple Salsa,$985.33,$516.00,8/25/2024
713,Food - Canned Goods,Tuscan Bean Soup,$269.61,$782.15,5/7/2024
714,Food - Dips,Peach Salsa,$58.85,$386.61,11/25/2025
715,Food - Baking,Organic Coconut Flakes,$279.62,$184.08,3/10/2024
716,Food - Sides,Instant Mashed Potatoes,$768.67,$135.66,8/31/2024
717,Food - Snacks,Sweet Potato Chips,$630.92,$686.65,3/22/2024
718,Food - Dairy,Feta Cheese Crumbles,$98.69,$988.23,1/1/2025
719,Home Appliances,Mini Cordless Vacuum Cleaner,$102.46,$283.22,4/15/2024
720,Garden,Set of Herb Garden Markers,$604.11,$728.26,1/30/2025
721,Pets,Cat Scratching Post with Toys,$496.39,$382.94,4/6/2024
722,Clothing - Jumpsuits,Wrap Jumpsuit,$115.82,$449.41,6/20/2024
723,Baby,Multifunctional Baby Bottle Warmer,$615.47,$858.95,7/28/2025
724,Food - Frozen Foods,Vegetable Pizza Rolls,$538.30,$289.65,7/11/2024
725,Food - Dairy Alternatives,Coconut Cashew Yogurt,$477.78,$304.19,2/17/2025
726,Accessories,Magnet Travel Fridge Magnets,$93.89,$696.43,10/20/2025
727,Food - Snacks,Flavored Popcorn Mix,$967.32,$926.28,11/13/2025
728,Toys,Children's Musical Instrument Set,$440.67,$224.48,6/21/2025
729,Food - Meat Alternatives,Tofu,$154.70,$899.11,8/24/2024
730,Accessories,Interchangeable Watch Bands,$524.44,$473.38,6/17/2025
731,Clothing - Pants,Slim Fit Chinos,$800.17,$479.89,10/9/2024
732,Home,Scented Candle Set,$479.71,$365.91,12/3/2025
733,Travel,Overnight Duffle Bag,$322.09,$291.77,4/10/2025
734,Outdoor,Compact Pop-Up Tent,$252.92,$721.85,2/6/2024
735,Pets,Collapsible Pet Dog Bowl,$450.26,$344.21,1/7/2025
736,Computers,USB-C Hub,$188.45,$607.29,10/7/2025
737,Pets,Pet Travel Backpack Carrier,$950.99,$435.77,3/17/2025
738,Food - Snacks,Chocolate Chip Energy Balls,$729.45,$104.71,2/15/2026
739,Home,Shoe Organizer,$31.29,$764.03,11/29/2025
740,Kitchen,Magnetic Spice Containers,$881.31,$699.17,1/6/2025
741,Fitness,Adjustable Skipping Rope,$938.43,$695.75,9/9/2024
742,Food - Canned Goods,Chili Beans in Sauce,$722.76,$243.60,1/30/2024
743,Accessories,Wireless Earbud Silicone Covers,$99.64,$185.06,9/18/2024
744,Kitchen,High-Speed Blender,$536.02,$261.69,1/23/2025
745,Office,Computer Monitor Stand,$787.15,$806.77,3/12/2026
746,Food - Bakery,Whole Wheat Bread,$860.18,$923.50,11/9/2025
747,Smart Home,Smart Thermostat with Wi-Fi,$344.15,$925.08,2/20/2025
748,Food - Produce,Organic Fruit Salad,$997.70,$638.57,3/14/2026
749,Food - Snacks,Oven-Baked Potato Chips,$363.28,$723.54,1/26/2024
750,Food - Nuts,Sunflower Seeds,$768.10,$585.51,1/16/2024
751,Kitchen,Magnetic Spice Containers,$74.59,$386.91,11/7/2024
752,Health,Smartphone UV Sanitizer,$761.26,$271.51,1/8/2024
753,Home,Inspirational Wall Art,$340.48,$747.18,1/21/2025
754,Food - Breakfast,Whole Grain Cereal,$543.55,$850.62,5/23/2024
755,Kitchen,Non-Stick Baking Sheets,$870.05,$185.30,3/10/2024
756,Garden,Watering Can with Nozzle,$658.04,$825.49,4/15/2025
757,Food - Frozen Foods,Vegetarian Pizza,$216.51,$105.28,5/12/2025
758,Electronics,Smartphone Photography Tripod,$613.94,$301.72,4/11/2025
759,Food - Deli,Balsamic Salad Dressing,$906.66,$388.79,1/22/2024
760,Outdoor,Outdoor Camping Hammock,$460.30,$717.66,10/1/2025
761,Food - Breakfast,Organic Whole Grain Oats,$325.07,$666.40,2/26/2024
762,Food - Condiments,Maple Syrup,$310.21,$125.34,1/4/2026
763,Toys,Wooden Blocks,$410.28,$386.46,9/13/2025
764,Food - Produce,Organic Baby Spinach,$414.45,$309.86,10/31/2025
765,Food - Dried Fruits,Californian Raisins,$525.29,$493.17,3/27/2024
766,Clothing - Outerwear,Cable Knit Cardigan,$691.66,$136.82,2/13/2024
767,Toys,Children's Educational Puzzle,$419.77,$291.04,2/1/2025
768,Food - Condiments,Thai Coconut Curry Sauce,$241.56,$284.91,2/9/2026
769,Garden,Self-Watering Planters,$50.90,$21.04,8/28/2025
770,Food - Canned Goods,Tuscan Bean Soup,$430.85,$663.32,1/23/2026
771,Food - Bakery,French Bread,$913.79,$115.77,12/7/2024
772,Clothing - Outerwear,Fleece Hoodie,$213.06,$102.87,1/4/2024
773,Kitchen,Salt and Pepper Grinder Set,$290.12,$371.36,10/6/2024
774,Garden,Mini Indoor Herb Garden Kit,$211.42,$29.50,3/29/2025
775,Food - Bakery,Jalapeño Cornbread,$657.72,$632.77,6/3/2024
776,Pets,Pet Reflective Vest,$991.37,$604.54,6/3/2025
777,Food - Snacks,Maple Bacon Potato Chips,$639.51,$84.23,7/21/2024
778,Health,Infrared Thermometer Gun,$404.69,$676.47,2/19/2026
779,Outdoor,Telescope,$799.44,$249.23,1/2/2025
780,Food - Oils,Herb-Infused Olive Oil,$92.42,$928.10,12/23/2025
781,Health,Deep Tissue Massage Gun,$425.51,$627.10,2/23/2026
782,Food - Jams & Jellies,Strawberry Fruit Spread,$830.41,$609.33,2/3/2025
783,Food - Dips,Hot Salsa,$289.12,$178.49,10/1/2025
784,Outdoor,Camping Chair,$603.14,$38.51,9/11/2025
785,Food - Soups,Black Bean Soup,$363.59,$439.07,11/28/2024
786,Outdoor,Magnetic Screen Door,$224.35,$742.57,5/31/2025
787,Food - Meat,Turkey Bacon,$375.56,$529.97,1/18/2025
788,Food - Sauces,Tomato Basil Pasta Sauce,$978.56,$405.69,5/27/2024
789,Food - Snacks,Honey Almond Granola Bars,$612.56,$836.45,1/23/2025
790,Clothing - Footwear,Slingback Sandals,$122.40,$600.71,2/6/2024
791,Food - Condiments,Indian Curry Sauce,$150.99,$735.38,5/1/2024
792,Kitchen,Electric Food Slicer,$368.98,$884.52,4/11/2025
793,Kitchen,Kitchen Scale,$762.06,$708.27,6/7/2025
794,Fitness,Jump Rope with Counter,$901.85,$827.50,7/12/2024
795,Clothing - Tops,V-Neck Sweater,$848.14,$180.76,10/19/2025
796,Food - Marinades,Garlic Herb Marinade,$388.01,$995.10,7/21/2025
797,Food - Bakery,Cinnamon Raisin Bagels,$779.34,$589.94,11/15/2024
798,Food - Meat,Spicy Chicken Wings,$522.97,$572.09,1/14/2026
799,Food - Bakery,Rustic Italian Bread,$252.00,$59.38,12/7/2025
800,Pets,Portable Pet Pooper Scooper,$681.32,$574.70,10/19/2024
801,Health,Foot Massager Machine,$762.32,$168.08,4/7/2024
802,Fitness,Stainless Steel Water Bottle,$582.53,$839.65,9/5/2024
803,Food - Beverages,Ginger Turmeric Shots,$574.95,$71.59,7/25/2025
804,Fitness,Fitbit Activity Tracker,$79.44,$413.90,6/19/2024
805,Home,Wire Shelving Unit,$134.72,$869.42,7/7/2024
806,Outdoor,Camping Chair with Cooler,$198.05,$475.91,1/25/2024
807,Food - Condiments,Sun-Dried Tomato Pesto,$355.70,$690.19,8/2/2024
808,Food - Canned Goods,Vegetarian Chili,$438.99,$883.31,5/7/2024
809,Clothing - Coats,Faux Fur Coat,$857.73,$801.93,12/27/2024
810,Pets,Adjustable Pet Grooming Table,$537.04,$842.35,1/8/2025
811,Clothing - Pants,Utility Cargo Pants,$88.11,$64.02,8/27/2025
812,Food - Grains,Brown Rice,$335.63,$869.64,9/18/2024
813,Food - Meal Kits,Beef Stroganoff Mix,$414.16,$538.74,4/6/2025
814,Food - Canned Goods,Sweet Corn,$45.84,$478.06,3/20/2025
815,Clothing - Shirts,Essential White Button-Up,$895.44,$703.72,8/31/2025
816,Kitchen,Waffle Maker,$672.70,$372.84,12/12/2025
817,Kitchen,Collapsible Colander,$707.37,$406.33,8/20/2025
818,Home,Fall-Themed Table Runner,$301.68,$172.56,10/20/2025
819,Food - Condiments,Spicy Salsa Verde,$749.40,$588.81,6/26/2024
820,Crafts,DIY Lip Balm Kit,$570.00,$723.43,2/28/2026
821,Food - Sauces,Roasted Garlic Pasta Sauce,$289.72,$754.09,5/12/2024
822,Home,Cotton Quilted Throw Blanket,$55.20,$663.91,12/9/2025
823,Food - Frozen,Strawberry Banana Smoothie Pack,$172.09,$113.93,7/31/2024
824,Gaming,Wireless Game Controller,$313.91,$454.16,12/23/2024
825,Food - Frozen,Strawberry Banana Smoothie Pack,$379.67,$668.19,5/25/2025
826,Food - Snacks,Taro Chips,$34.00,$758.69,5/2/2025
827,Clothing - Tops,Warm Wool Sweater,$424.31,$668.14,8/31/2024
828,Food - Baking Goods,Baking Powder,$651.20,$142.36,1/31/2026
829,Kitchen,Coffee Making Kit,$546.37,$993.34,2/26/2024
830,Food - Dairy Alternatives,Coconut Yogurt,$686.17,$631.60,3/24/2024
831,Food - Spices,Paprika,$121.31,$659.64,12/26/2025
832,Wearable Tech,Fitness Smartwatch,$132.78,$477.45,3/16/2025
833,Food - Dairy,Greek Feta Cheese,$94.54,$952.97,12/8/2025
834,Health,Ice Pack,$264.30,$673.96,7/22/2025
835,Accessories,Portable Phone Charger,$758.37,$491.68,2/9/2026
836,Food - Vegetable,Chilli Lime Corn on the Cob,$556.05,$355.55,2/27/2025
837,Health,Essential Oil Diffuser,$347.78,$53.61,4/19/2025
838,Food - Seafood,Lemon Dill Salmon,$702.62,$41.28,3/3/2025
839,Clothing - Tops,V-Neck Sweater,$200.10,$191.77,12/2/2024
840,Food - Salads,Pear and Gorgonzola Salad,$645.49,$891.06,6/5/2024
841,Kitchen,Ceramic Non-Stick Frying Pan,$847.88,$927.10,8/3/2025
842,Food - Vegetables,Marinated Artichokes,$452.22,$464.53,2/2/2025
843,Food - Breakfast,Toasted Coconut Granola,$519.69,$27.81,8/9/2025
844,Food - Meat,Honey BBQ Riblets,$631.76,$166.06,8/30/2025
845,Food - Meat,Maple Breakfast Sausage,$895.21,$654.46,3/7/2024
846,Food - Condiments,Tomatillo Salsa,$180.92,$101.11,4/7/2025
847,Food - Condiments,Chocolate Syrup,$605.48,$52.03,1/12/2026
848,Food - Salads,Kale Salad with Lemon Dressing,$251.18,$525.12,2/2/2024
849,Food - Frozen Foods,Sweet Potato Tots,$542.56,$431.82,3/23/2024
850,Food - Bakery,Almond Flour Cookies,$785.32,$942.38,1/21/2025
851,Food - Frozen Foods,Barbecue Chicken Pizza,$317.49,$465.36,4/2/2025
852,Food - Produce,Sliced Avocado,$454.59,$161.70,8/13/2024
853,Fitness,Smart Water Bottle,$672.28,$429.04,10/10/2024
854,Food - Snacks,Dark Chocolate Raisins,$65.31,$795.42,1/16/2024
855,Food - Breakfast,Maple Pecan Granola,$798.69,$837.82,11/17/2025
856,Food - Frozen Foods,Crispy Onion Rings,$672.80,$57.65,12/5/2025
857,Electronics,Wireless Wi-Fi Extender,$214.76,$175.42,1/22/2024
858,Food - Baking,Chocolate Chip Cookie Dough,$157.57,$196.33,11/21/2024
859,Food - Meat,Beef Stew Meat,$491.71,$942.32,12/14/2025
860,Outdoor,Portable Camping Shower,$879.46,$969.28,9/11/2024
861,Fitness,Fitness Tracker Band,$770.23,$985.31,1/20/2024
862,Food - Prepared Meals,Teriyaki Tofu Stir-Fry,$572.67,$392.99,4/3/2024
863,Automotive,Motorcycle Phone Mount,$720.77,$185.50,9/13/2024
864,Fitness,Luxury Yoga Mat,$227.37,$848.08,10/8/2025
865,Food - Breakfast Foods,Almond Coconut Granola,$787.20,$326.88,1/12/2025
866,Outdoor,Fishing Tackle Box,$783.98,$688.11,10/12/2025
867,Clothing - Bottoms,Linen Trousers,$252.53,$488.81,3/14/2025
868,Home,Decorative Throw Blanket,$423.57,$703.32,12/16/2024
869,Food - Canned Goods,Coconut Curry Lentils,$579.60,$999.57,1/12/2026
870,Outdoor,Portable Charcoal Grill,$149.24,$465.01,1/24/2025
871,Home,Bamboo Memory Foam Pillow,$707.30,$909.58,6/6/2024
872,Food - Beverages,Raspberry Limeade,$933.05,$282.82,11/30/2024
873,Kitchen,Stainless Steel Cutlery Set,$126.21,$364.79,12/28/2025
874,Pets,LED Flashing Pet Collar,$471.26,$276.57,8/16/2024
875,Fitness,Fitbit Activity Tracker,$525.16,$313.17,6/11/2024
876,Food - Condiments,French Onion Dip,$866.21,$829.08,12/8/2025
877,Electronics,Kids' Learning Tablet,$153.04,$684.15,7/3/2025
878,Kitchen,Heart-Shaped Baking Molds,$176.40,$306.53,2/10/2025
879,Kitchen,Herbal Tea Infuser,$841.42,$513.68,7/26/2024
880,Outdoor,Lightweight Backpacking Tent,$492.84,$428.07,9/8/2024
881,Kitchen,Ceramic Knife Set,$370.87,$760.27,11/13/2025
882,Food - Baking,Sooji (Semolina),$253.19,$200.18,2/18/2024
883,Food - Bakery,Cinnamon Sugar Donuts,$956.08,$114.23,3/5/2025
884,Accessories,Laptop Backpack,$187.30,$795.09,1/1/2026
885,Food - Meat,Spicy Chicken Wings,$913.90,$449.02,4/23/2025
886,Food - Nuts,Garlic Parmesan Roasted Nuts,$616.02,$52.71,11/10/2025
887,Food - Snacks,Peanut Butter Protein Balls,$585.67,$42.93,9/4/2025
888,Outdoor,Travel Beach Blanket,$421.65,$377.89,1/16/2025
889,Clothing - Bags,Leather Crossbody Bag,$256.57,$887.45,8/1/2025
890,Food - Canned Goods,Lentil Soup (canned),$342.73,$606.09,4/8/2025
891,Food - Condiments,Spicy BBQ Sauce,$160.17,$356.19,9/25/2025
892,Food - Meat,Beef Stew Meat,$26.20,$654.75,4/7/2024
893,Food - Salads,Harvest Grain Salad,$235.84,$79.09,3/30/2025
894,Clothing - Accessories,Cable Knit Beanie,$909.24,$199.92,7/5/2024
895,Kitchen,Air Fryer,$761.55,$453.76,3/9/2025
896,Food - Dairy,Hummus Variety Pack,$174.86,$234.91,7/12/2024
897,Books,Handmade Leather Journal,$769.42,$151.83,11/16/2025
898,Food - Snacks,Maple Cinnamon Granola Bars,$144.72,$344.94,7/31/2024
899,Clothing - Skirts,Printed Maxi Skirt,$937.14,$269.37,4/4/2025
900,Audio,Portable Bluetooth Headphones,$173.60,$218.26,5/10/2024
901,Food - Prepared Meals,Buffalo Chicken Wraps,$641.17,$979.54,8/1/2024
902,Food - Snacks,Chocolate Peanut Butter Cups,$662.50,$128.11,8/23/2025
903,Food - Baking,Blueberry Muffin Mix,$414.85,$578.05,12/10/2024
904,Clothing - Bottoms,Stylish Wide-Leg Trousers,$858.72,$759.88,1/23/2025
905,Outdoor,Reclining Camping Chair,$829.90,$395.56,8/30/2025
906,Outdoor,Stainless Steel BBQ Grill Set,$133.74,$924.86,2/17/2024
907,Outdoor,Folding Backpack Chair,$304.46,$132.11,2/19/2025
908,Food - Canned Goods,Tomato Basil Soup,$325.68,$894.62,4/9/2024
909,Food - Canned Goods,Chili Beans in Sauce,$683.22,$189.02,1/6/2026
910,Home Appliances,Portable Air Conditioner,$779.65,$162.35,12/25/2025
911,Food - Produce,Brussels Sprouts,$623.10,$61.75,7/30/2024
912,Pets,Dog Collar,$911.04,$23.92,5/11/2024
913,Food - Dips,Sweet Pea Hummus,$139.34,$496.85,3/14/2024
914,Travel,Travel Pillow with Memory Foam,$420.70,$209.55,10/23/2024
915,Food - Snacks,Dark Chocolate Covered Pretzels,$617.97,$420.36,11/13/2025
916,Food - Snacks,Almond Crunch Granola Bars,$904.14,$167.26,4/5/2024
917,Art Supplies,Digital Drawing Tablet,$297.07,$497.05,12/12/2025
918,Food - Condiments,Bock Beer Mustard,$864.46,$788.03,7/29/2024
919,Office,Customizable Name Plate,$549.78,$592.02,4/25/2025
920,Food - Nuts,Sunflower Seeds,$950.24,$611.51,12/21/2024
921,Music,Electronic Drum Kit,$571.05,$573.02,8/30/2025
922,Kitchen,Stainless Steel Mixing Bowls,$340.97,$735.48,10/12/2025
923,Kitchen,Stainless Steel Travel Mug,$807.92,$471.15,8/10/2024
924,Food - Dairy Alternatives,Vegan Cheese,$585.32,$258.50,1/13/2025
925,Food - Baking,Samoas Cookie Mix,$868.38,$861.48,1/22/2024
926,Food - Frozen Vegetables,Oven-Baked Parmesan Zucchini,$736.77,$856.34,1/6/2024
927,Food - Spices,Garam Masala Spice Blend,$555.68,$720.69,10/6/2024
928,Food - Breakfast,Whole Grain Cereal,$939.70,$630.87,9/5/2024
929,Pets,Pet Carrier,$561.67,$40.34,10/20/2024
930,Fitness,Protein Powder,$169.85,$641.51,8/15/2024
931,Kitchen,Dish Rack,$232.57,$752.93,3/29/2024
932,Outdoor,Camping Lantern,$207.47,$833.59,10/21/2024
933,Kitchen,Oven Thermometer,$322.03,$324.46,7/28/2024
934,Food - Vegetables,Marinated Artichokes,$79.07,$468.80,5/10/2025
935,Food - Snacks,Almond Butter Granola Bars,$384.83,$319.57,6/29/2025
936,Food - Baking,Chocolate Fudge Brownie Mix,$318.04,$322.59,3/3/2024
937,Food - Baking,Vegan Chocolate Cake Mix,$199.57,$321.54,8/31/2024
938,Outdoor,Foldable Picnic Table,$678.74,$421.96,5/4/2025
939,Home,Set of Decorative Storage Bins,$177.76,$393.03,8/19/2024
940,Food - Cereals,Raisin Cinnamon Granola,$59.85,$400.44,3/30/2025
941,Home,USB Desk Fan,$298.21,$458.62,5/6/2025
942,Fitness,Foam Roller for Muscle Recovery,$895.14,$699.09,1/31/2025
943,Garden,Potting Soil,$717.76,$145.17,4/4/2024
944,Food - Frozen Foods,Teriyaki Chicken Stir-Fry,$849.25,$33.40,7/1/2025
945,Travel,Compressible Packing Cubes,$156.51,$185.83,10/3/2025
946,Food - Condiments,Sweet BBQ Dipping Sauce,$711.68,$583.01,11/16/2024
947,Health,Electric Toothbrush Holder,$153.88,$344.32,4/17/2024
948,Garden,Plant Growing Kit,$645.49,$157.31,4/7/2024
949,Home,Collapsible Storage Crates,$458.26,$564.83,9/15/2025
950,Fitness,Smart Water Bottle,$903.60,$27.18,2/11/2025
951,Food - Canned Goods,Classic Chicken Noodle Soup,$171.84,$417.87,11/26/2024
952,Food - Meat,Honey BBQ Riblets,$574.10,$982.69,7/21/2024
953,Food - Frozen Foods,Crispy Potato Tots,$895.67,$569.98,6/27/2025
954,Outdoor,Outdoor Folding Table,$144.44,$27.10,8/5/2025
955,Food - Snacks,Granola Bars,$184.16,$127.52,1/16/2025
956,Toys,Nature Explorer Lens Kit,$999.98,$568.42,1/26/2024
957,Kitchen,Tea Infuser,$331.35,$274.59,2/18/2026
958,Food - Prepared Foods,Pesto Pasta Salad,$980.18,$440.61,11/1/2024
959,Pets,Portable Pet Stroller,$635.09,$509.44,5/26/2024
960,Accessories,Travel Jewelry Case,$411.99,$902.09,5/31/2025
961,Clothing - Tops,Vintage Graphic Tee,$38.91,$769.27,12/1/2025
962,Clothing - Activewear,Sporty Leggings,$225.22,$434.31,2/18/2025
963,Food - Beverages,Matcha Green Tea Powder,$661.80,$195.14,10/13/2025
964,Food - Snacks,Kale Chips,$469.12,$39.24,12/3/2025
965,Food - Cereal,Honey Nut Cheerios,$516.13,$18.46,2/14/2024
966,Food - Dairy,Cream Cheese,$506.49,$839.56,8/31/2025
967,Audio,Over-Ear Headphones,$745.29,$475.08,5/5/2024
968,Beauty,Body Wash,$238.05,$349.53,8/9/2025
969,Home,Eco-Friendly Cleaning Cloths,$903.03,$89.49,11/20/2024
970,Food - Snacks,Maple Cinnamon Granola Bars,$265.00,$264.41,10/29/2025
971,Smart Home,Wireless Smart Plug,$281.71,$609.39,1/8/2024
972,Food - Condiments,Habanero Hot Sauce,$826.75,$508.28,2/18/2024
973,Automotive,Motorcycle Phone Mount,$977.61,$990.85,3/23/2025
974,Food - Spreads,Natural Peanut Butter,$173.06,$561.93,1/12/2025
975,Health,Smartphone UV Sanitizer,$818.51,$778.86,9/7/2024
976,Home,Digital Photo Frame,$500.56,$279.17,12/2/2025
977,Office,Adjustable Laptop Desk,$783.27,$250.06,11/14/2025
978,Food - Condiments,Honey Mustard Dip,$115.73,$559.55,12/23/2025
979,Kitchen,Pasta Portion Control Measure,$103.82,$325.69,3/1/2025
980,Footwear,Men's Waterproof Hiking Boots,$703.79,$418.05,10/25/2024
981,Food - Snacks,Oven-Baked Cheese Crisps,$737.46,$955.12,9/20/2025
982,Outdoor,Solar String Lights,$834.67,$413.14,7/3/2025
983,Food - Condiments,Buffalo Sauce,$467.34,$657.63,11/29/2025
984,Pets,Pet Hair Removal Roller,$830.50,$14.68,1/8/2026
985,Home,Handheld Garment Steamer,$190.96,$185.53,10/31/2025
986,Kitchen,Magnetic Spice Containers,$649.50,$843.40,11/12/2025
987,Clothing - Footwear,Slingback Sandals,$830.98,$394.66,12/13/2025
988,Food - Dips,Buffalo Chicken Dip,$594.60,$996.55,6/21/2025
989,Food - Snacks,Honey Graham Crackers,$686.08,$184.63,8/25/2024
990,Food - Beverages,Fruit Medley Juice,$582.12,$612.76,9/28/2024
991,Food - Bakery,Cinnamon Raisin Bread,$462.46,$413.57,3/3/2025
992,Kitchen,Instant Pot,$910.28,$500.72,1/1/2024
993,Food - Marinades,Caribbean Jerk Marinade,$470.05,$455.89,11/12/2025
994,Home,Animal Paw Print Soap Dispenser,$46.16,$274.69,7/31/2025
995,Food - Frozen Foods,Vegetable Pizza Rolls,$709.53,$165.59,7/25/2024
996,Food - Frozen Foods,Fried Rice,$107.90,$176.83,3/3/2025
997,Audio,Water-Resistant Bluetooth Speaker,$196.29,$354.34,7/14/2024
998,Clothing - Tops,Vintage Graphic Tee,$946.65,$192.14,7/30/2025
999,Clothing - Activewear,Athletic Sports Bra,$372.43,$830.17,2/4/2026
1000,Outdoor,Overnight Hiking Backpack,$633.64,$358.34,5/2/2025
